# Time (a.u.)	Order parameter |r|
0.0000	1.1022279e-02
0.0010	1.1138845e-02
0.0020	1.1259170e-02
0.0030	1.1383187e-02
0.0040	1.1510828e-02
0.0050	1.1642025e-02
0.0060	1.1776710e-02
0.0070	1.1914817e-02
0.0080	1.2056278e-02
0.0090	1.2201028e-02
0.0100	1.2349002e-02
0.0110	1.2500135e-02
0.0120	1.2654364e-02
0.0130	1.2811628e-02
0.0140	1.2971866e-02
0.0150	1.3135019e-02
0.0160	1.3301028e-02
0.0170	1.3469838e-02
0.0180	1.3641392e-02
0.0190	1.3815638e-02
0.0200	1.3992523e-02
0.0210	1.4171997e-02
0.0220	1.4354010e-02
0.0230	1.4538514e-02
0.0240	1.4725464e-02
0.0250	1.4914814e-02
0.0260	1.5106521e-02
0.0270	1.5300542e-02
0.0280	1.5496838e-02
0.0290	1.5695368e-02
0.0300	1.5896096e-02
0.0310	1.6098983e-02
0.0320	1.6303996e-02
0.0330	1.6511099e-02
0.0340	1.6720259e-02
0.0350	1.6931445e-02
0.0360	1.7144626e-02
0.0370	1.7359772e-02
0.0380	1.7576854e-02
0.0390	1.7795846e-02
0.0400	1.8016720e-02
0.0410	1.8239451e-02
0.0420	1.8464014e-02
0.0430	1.8690385e-02
0.0440	1.8918542e-02
0.0450	1.9148462e-02
0.0460	1.9380123e-02
0.0470	1.9613505e-02
0.0480	1.9848589e-02
0.0490	2.0085354e-02
0.0500	2.0323783e-02
0.0510	2.0563858e-02
0.0520	2.0805561e-02
0.0530	2.1048876e-02
0.0540	2.1293786e-02
0.0550	2.1540277e-02
0.0560	2.1788333e-02
0.0570	2.2037940e-02
0.0580	2.2289084e-02
0.0590	2.2541751e-02
0.0600	2.2795928e-02
0.0610	2.3051603e-02
0.0620	2.3308764e-02
0.0630	2.3567398e-02
0.0640	2.3827494e-02
0.0650	2.4089042e-02
0.0660	2.4352030e-02
0.0670	2.4616447e-02
0.0680	2.4882285e-02
0.0690	2.5149533e-02
0.0700	2.5418181e-02
0.0710	2.5688221e-02
0.0720	2.5959643e-02
0.0730	2.6232438e-02
0.0740	2.6506599e-02
0.0750	2.6782117e-02
0.0760	2.7058984e-02
0.0770	2.7337192e-02
0.0780	2.7616734e-02
0.0790	2.7897602e-02
0.0800	2.8179789e-02
0.0810	2.8463287e-02
0.0820	2.8748091e-02
0.0830	2.9034193e-02
0.0840	2.9321587e-02
0.0850	2.9610266e-02
0.0860	2.9900224e-02
0.0870	3.0191454e-02
0.0880	3.0483952e-02
0.0890	3.0777710e-02
0.0900	3.1072724e-02
0.0910	3.1368986e-02
0.0920	3.1666493e-02
0.0930	3.1965238e-02
0.0940	3.2265215e-02
0.0950	3.2566420e-02
0.0960	3.2868847e-02
0.0970	3.3172492e-02
0.0980	3.3477348e-02
0.0990	3.3783411e-02
0.1000	3.4090676e-02
0.1010	3.4399139e-02
0.1020	3.4708793e-02
0.1030	3.5019635e-02
0.1040	3.5331660e-02
0.1050	3.5644863e-02
0.1060	3.5959239e-02
0.1070	3.6274785e-02
0.1080	3.6591494e-02
0.1090	3.6909363e-02
0.1100	3.7228388e-02
0.1110	3.7548564e-02
0.1120	3.7869886e-02
0.1130	3.8192350e-02
0.1140	3.8515952e-02
0.1150	3.8840688e-02
0.1160	3.9166553e-02
0.1170	3.9493543e-02
0.1180	3.9821653e-02
0.1190	4.0150880e-02
0.1200	4.0481220e-02
0.1210	4.0812667e-02
0.1220	4.1145219e-02
0.1230	4.1478870e-02
0.1240	4.1813617e-02
0.1250	4.2149456e-02
0.1260	4.2486382e-02
0.1270	4.2824391e-02
0.1280	4.3163480e-02
0.1290	4.3503644e-02
0.1300	4.3844879e-02
0.1310	4.4187182e-02
0.1320	4.4530547e-02
0.1330	4.4874972e-02
0.1340	4.5220451e-02
0.1350	4.5566982e-02
0.1360	4.5914560e-02
0.1370	4.6263181e-02
0.1380	4.6612841e-02
0.1390	4.6963536e-02
0.1400	4.7315262e-02
0.1410	4.7668015e-02
0.1420	4.8021792e-02
0.1430	4.8376588e-02
0.1440	4.8732399e-02
0.1450	4.9089222e-02
0.1460	4.9447052e-02
0.1470	4.9805885e-02
0.1480	5.0165719e-02
0.1490	5.0526547e-02
0.1500	5.0888368e-02
0.1510	5.1251177e-02
0.1520	5.1614970e-02
0.1530	5.1979743e-02
0.1540	5.2345492e-02
0.1550	5.2712214e-02
0.1560	5.3079905e-02
0.1570	5.3448560e-02
0.1580	5.3818176e-02
0.1590	5.4188750e-02
0.1600	5.4560277e-02
0.1610	5.4932753e-02
0.1620	5.5306176e-02
0.1630	5.5680540e-02
0.1640	5.6055843e-02
0.1650	5.6432080e-02
0.1660	5.6809248e-02
0.1670	5.7187343e-02
0.1680	5.7566362e-02
0.1690	5.7946301e-02
0.1700	5.8327155e-02
0.1710	5.8708922e-02
0.1720	5.9091598e-02
0.1730	5.9475180e-02
0.1740	5.9859662e-02
0.1750	6.0245043e-02
0.1760	6.0631319e-02
0.1770	6.1018486e-02
0.1780	6.1406540e-02
0.1790	6.1795478e-02
0.1800	6.2185296e-02
0.1810	6.2575992e-02
0.1820	6.2967562e-02
0.1830	6.3360002e-02
0.1840	6.3753308e-02
0.1850	6.4147479e-02
0.1860	6.4542509e-02
0.1870	6.4938397e-02
0.1880	6.5335139e-02
0.1890	6.5732730e-02
0.1900	6.6131170e-02
0.1910	6.6530453e-02
0.1920	6.6930577e-02
0.1930	6.7331539e-02
0.1940	6.7733336e-02
0.1950	6.8135965e-02
0.1960	6.8539422e-02
0.1970	6.8943705e-02
0.1980	6.9348810e-02
0.1990	6.9754735e-02
0.2000	7.0161478e-02
0.2010	7.0569034e-02
0.2020	7.0977401e-02
0.2030	7.1386577e-02
0.2040	7.1796558e-02
0.2050	7.2207343e-02
0.2060	7.2618927e-02
0.2070	7.3031309e-02
0.2080	7.3444486e-02
0.2090	7.3858456e-02
0.2100	7.4273215e-02
0.2110	7.4688762e-02
0.2120	7.5105094e-02
0.2130	7.5522208e-02
0.2140	7.5940103e-02
0.2150	7.6358775e-02
0.2160	7.6778223e-02
0.2170	7.7198444e-02
0.2180	7.7619436e-02
0.2190	7.8041197e-02
0.2200	7.8463725e-02
0.2210	7.8887018e-02
0.2220	7.9311073e-02
0.2230	7.9735889e-02
0.2240	8.0161464e-02
0.2250	8.0587795e-02
0.2260	8.1014882e-02
0.2270	8.1442722e-02
0.2280	8.1871313e-02
0.2290	8.2300653e-02
0.2300	8.2730742e-02
0.2310	8.3161578e-02
0.2320	8.3593158e-02
0.2330	8.4025481e-02
0.2340	8.4458546e-02
0.2350	8.4892351e-02
0.2360	8.5326895e-02
0.2370	8.5762177e-02
0.2380	8.6198195e-02
0.2390	8.6634948e-02
0.2400	8.7072435e-02
0.2410	8.7510655e-02
0.2420	8.7949606e-02
0.2430	8.8389288e-02
0.2440	8.8829699e-02
0.2450	8.9270838e-02
0.2460	8.9712705e-02
0.2470	9.0155299e-02
0.2480	9.0598619e-02
0.2490	9.1042664e-02
0.2500	9.1487433e-02
0.2510	9.1932926e-02
0.2520	9.2379142e-02
0.2530	9.2826080e-02
0.2540	9.3273741e-02
0.2550	9.3722123e-02
0.2560	9.4171226e-02
0.2570	9.4621049e-02
0.2580	9.5071593e-02
0.2590	9.5522857e-02
0.2600	9.5974841e-02
0.2610	9.6427545e-02
0.2620	9.6880967e-02
0.2630	9.7335110e-02
0.2640	9.7789971e-02
0.2650	9.8245552e-02
0.2660	9.8701852e-02
0.2670	9.9158872e-02
0.2680	9.9616612e-02
0.2690	1.0007507e-01
0.2700	1.0053425e-01
0.2710	1.0099415e-01
0.2720	1.0145477e-01
0.2730	1.0191611e-01
0.2740	1.0237817e-01
0.2750	1.0284096e-01
0.2760	1.0330446e-01
0.2770	1.0376869e-01
0.2780	1.0423365e-01
0.2790	1.0469933e-01
0.2800	1.0516573e-01
0.2810	1.0563286e-01
0.2820	1.0610071e-01
0.2830	1.0656929e-01
0.2840	1.0703860e-01
0.2850	1.0750864e-01
0.2860	1.0797941e-01
0.2870	1.0845091e-01
0.2880	1.0892314e-01
0.2890	1.0939611e-01
0.2900	1.0986980e-01
0.2910	1.1034424e-01
0.2920	1.1081941e-01
0.2930	1.1129532e-01
0.2940	1.1177197e-01
