# Coupling strength K	Order parameter |r|
0.000000e+00	1.077150e-02
0.000000e+00	1.096710e-02
0.000000e+00	1.149288e-02
0.000000e+00	1.179557e-02
0.000000e+00	1.213022e-02
0.000000e+00	1.251373e-02
0.000000e+00	1.337652e-02
0.000000e+00	1.348865e-02
0.000000e+00	1.406021e-02
0.000000e+00	1.412296e-02
0.000000e+00	1.483120e-02
0.000000e+00	1.515923e-02
0.000000e+00	1.556720e-02
0.000000e+00	1.615074e-02
0.000000e+00	1.646209e-02
0.000000e+00	1.681035e-02
0.000000e+00	1.700297e-02
0.000000e+00	1.744582e-02
0.000000e+00	1.830666e-02
0.000000e+00	1.834062e-02
0.000000e+00	1.871896e-02
0.000000e+00	1.878686e-02
0.000000e+00	1.955668e-02
0.000000e+00	1.962968e-02
0.000000e+00	1.997549e-02
0.000000e+00	2.063043e-02
0.000000e+00	2.076457e-02
0.000000e+00	2.108003e-02
0.000000e+00	2.122270e-02
0.000000e+00	2.154363e-02
0.000000e+00	2.169965e-02
0.000000e+00	2.228041e-02
0.000000e+00	2.242619e-02
0.000000e+00	2.282735e-02
0.000000e+00	2.293836e-02
0.000000e+00	2.317353e-02
0.000000e+00	2.323321e-02
0.000000e+00	2.331068e-02
0.000000e+00	2.332952e-02
0.000000e+00	2.552649e-02
0.000000e+00	2.766431e-02
0.000000e+00	2.973792e-02
0.000000e+00	3.096977e-02
0.000000e+00	3.174328e-02
0.000000e+00	3.194623e-02
0.000000e+00	3.301002e-02
0.000000e+00	3.367706e-02
0.000000e+00	3.415112e-02
0.000000e+00	3.535759e-02
0.000000e+00	3.553627e-02
0.000000e+00	3.661601e-02
0.000000e+00	3.731801e-02
0.000000e+00	3.791191e-02
0.000000e+00	3.901927e-02
0.000000e+00	3.923008e-02
0.000000e+00	4.055493e-02
0.000000e+00	4.063676e-02
0.000000e+00	4.187066e-02
0.000000e+00	4.216680e-02
0.000000e+00	4.316155e-02
0.000000e+00	4.360524e-02
0.000000e+00	4.441212e-02
0.000000e+00	4.494747e-02
0.000000e+00	4.502935e-03
0.000000e+00	4.560740e-02
0.000000e+00	4.618846e-02
0.000000e+00	4.652159e-03
0.000000e+00	4.673306e-02
0.000000e+00	4.732281e-02
0.000000e+00	4.777563e-02
0.000000e+00	4.834491e-02
0.000000e+00	4.872272e-02
0.000000e+00	4.924908e-02
0.000000e+00	4.956310e-02
0.000000e+00	5.002974e-02
0.000000e+00	5.028692e-02
0.000000e+00	5.068161e-02
0.000000e+00	5.088577e-02
0.000000e+00	5.119995e-02
0.000000e+00	5.135278e-02
0.000000e+00	5.158071e-02
0.000000e+00	5.168270e-02
0.000000e+00	5.182075e-02
0.000000e+00	5.187182e-02
0.000000e+00	5.191805e-02
0.000000e+00	5.582455e-03
0.000000e+00	5.883995e-03
0.000000e+00	5.980729e-03
0.000000e+00	6.212294e-03
0.000000e+00	6.312967e-03
0.000000e+00	6.967696e-03
0.000000e+00	7.103473e-03
