#i k1 k2 k
1 0 0 0
2 1 0 1
3 2 0 2
4 2 1 3
5 4 0 4
6 3 1 4
7 3 1 4
8 4 0 4
9 3 1 4
10 3 1 4
11 3 1 4
12 3 1 4
13 3 1 4
14 4 0 4
15 4 0 4
16 3 1 4
17 3 1 4
18 3 1 4
19 3 1 4
20 3 1 4
21 3 1 4
22 3 1 4
23 3 1 4
24 4 0 4
25 3 1 4
26 3 1 4
27 3 1 4
28 3 1 4
29 3 1 4
30 4 0 4
31 3 1 4
32 3 1 4
33 3 1 4
34 3 1 4
35 4 0 4
36 3 1 4
37 3 1 4
38 3 1 4
39 3 1 4
40 3 1 4
41 3 1 4
42 4 0 4
43 3 1 4
44 3 1 4
45 4 0 4
46 3 1 4
47 3 1 4
48 3 1 4
49 4 0 4
50 4 0 4
51 3 1 4
52 3 1 4
53 3 1 4
54 3 1 4
55 3 1 4
56 3 1 4
57 3 1 4
58 4 0 4
59 4 0 4
60 4 0 4
61 3 1 4
62 3 1 4
63 3 1 4
64 4 0 4
65 4 0 4
66 4 0 4
67 3 1 4
68 3 1 4
69 3 1 4
70 4 0 4
71 3 1 4
72 4 0 4
73 4 0 4
74 4 0 4
75 3 1 4
76 4 0 4
77 4 0 4
78 3 1 4
79 4 0 4
80 4 0 4
81 3 1 4
82 3 1 4
83 4 0 4
84 3 1 4
85 4 0 4
86 3 1 4
87 3 1 4
88 3 1 4
89 3 1 4
90 3 1 4
91 3 1 4
92 3 1 4
93 3 1 4
94 4 0 4
95 3 1 4
96 3 1 4
97 3 1 4
98 4 0 4
99 3 1 4
100 3 1 4
101 4 0 4
102 3 1 4
103 3 1 4
104 3 1 4
105 3 1 4
106 3 1 4
107 4 0 4
108 3 1 4
109 3 1 4
110 3 1 4
111 4 0 4
112 3 0 3
113 3 1 4
114 4 0 4
115 3 1 4
116 4 0 4
117 3 1 4
118 4 0 4
119 3 1 4
120 3 1 4
121 4 0 4
122 3 1 4
123 4 0 4
124 3 1 4
125 3 1 4
126 3 1 4
127 4 0 4
128 3 1 4
129 3 1 4
130 3 1 4
131 4 0 4
132 3 1 4
133 4 0 4
134 3 1 4
135 4 0 4
136 3 1 4
137 3 1 4
138 3 1 4
139 3 1 4
140 3 1 4
141 3 1 4
142 4 0 4
143 4 0 4
144 3 1 4
145 4 0 4
146 3 1 4
147 3 1 4
148 3 1 4
149 3 1 4
150 3 1 4
151 3 1 4
152 3 1 4
153 4 0 4
154 3 1 4
155 4 0 4
156 3 1 4
157 3 1 4
158 3 1 4
159 4 0 4
160 4 0 4
161 3 1 4
