#i k1 k2 k
1 504 22 526
2 5 9 14
3 368 11 379
4 1 3 4
5 451 23 474
6 4 16 20
7 10 28 38
8 210 8 218
9 4 5 9
10 0 2 2
11 0 3 3
12 26 46 72
13 1 5 6
14 99 7 106
15 89 4 93
16 0 2 2
17 1 8 9
18 0 6 6
19 0 1 1
20 0 1 1
21 2 6 8
22 0 0 0
23 5 12 17
24 96 0 96
25 5 9 14
26 0 0 0
27 7 10 17
28 0 1 1
29 1 3 4
30 19 2 21
31 4 17 21
32 1 2 3
33 0 1 1
34 0 1 1
35 28 2 30
36 0 1 1
37 2 3 5
38 0 0 0
39 0 0 0
40 7 8 15
41 1 2 3
42 18 0 18
43 1 3 4
44 0 0 0
45 32 1 33
46 1 0 1
47 0 1 1
48 1 2 3
49 10 0 10
50 34 2 36
51 0 0 0
52 0 1 1
53 1 4 5
54 4 9 13
55 1 3 4
56 1 5 6
57 0 3 3
58 13 0 13
59 33 1 34
60 3 0 3
61 2 1 3
62 0 1 1
63 0 1 1
64 49 1 50
65 32 0 32
66 20 0 20
67 1 2 3
68 0 1 1
69 0 1 1
70 6 1 7
71 0 2 2
72 16 1 17
73 24 1 25
74 14 1 15
75 0 0 0
76 70 3 73
77 18 1 19
78 0 2 2
79 28 2 30
80 1 0 1
81 3 1 4
82 0 2 2
83 15 0 15
84 0 4 4
85 10 2 12
86 0 0 0
87 6 10 16
88 4 10 14
89 0 1 1
90 1 4 5
91 1 4 5
92 1 1 2
93 0 0 0
94 1 2 3
95 0 1 1
96 2 5 7
97 7 2 9
98 11 0 11
99 0 1 1
100 0 1 1
101 23 0 23
102 1 0 1
103 0 1 1
104 0 1 1
105 0 0 0
106 0 1 1
107 5 0 5
108 2 3 5
109 1 0 1
110 0 0 0
111 26 1 27
112 11 2 13
113 9 1 10
114 12 3 15
115 0 0 0
116 9 1 10
117 0 3 3
118 11 0 11
119 0 0 0
120 2 0 2
121 14 3 17
122 0 1 1
123 28 0 28
124 0 0 0
125 0 0 0
126 0 1 1
127 5 0 5
128 3 4 7
129 0 2 2
130 0 1 1
131 5 0 5
132 0 0 0
133 14 2 16
134 0 0 0
135 13 1 14
136 1 2 3
137 0 1 1
138 0 1 1
139 2 10 12
140 0 1 1
141 0 1 1
142 16 1 17
143 2 1 3
144 0 0 0
145 12 0 12
146 0 1 1
147 1 2 3
148 0 1 1
149 0 0 0
150 0 0 0
151 5 1 6
152 1 0 1
153 3 0 3
154 1 3 4
155 2 0 2
156 0 1 1
157 0 3 3
158 0 1 1
159 6 2 8
160 14 2 16
161 0 0 0
162 1 3 4
163 1 1 2
164 0 1 1
165 0 1 1
166 11 1 12
167 0 1 1
168 1 2 3
169 0 1 1
170 8 1 9
171 0 1 1
172 0 0 0
173 0 0 0
174 14 1 15
175 0 1 1
176 1 0 1
177 1 2 3
178 0 0 0
179 3 1 4
180 16 1 17
181 0 0 0
182 3 5 8
183 0 0 0
184 0 0 0
185 0 0 0
186 0 2 2
187 1 0 1
188 11 0 11
189 0 1 1
190 0 1 1
191 0 0 0
192 0 0 0
193 0 0 0
194 0 1 1
195 0 0 0
196 0 1 1
197 0 3 3
198 0 0 0
199 3 1 4
200 0 0 0
201 0 1 1
202 0 0 0
203 0 1 1
204 0 0 0
205 15 1 16
206 0 0 0
207 0 2 2
208 1 1 2
209 0 0 0
210 1 0 1
211 5 1 6
212 0 0 0
213 12 1 13
214 0 0 0
215 3 1 4
216 0 1 1
217 0 0 0
218 0 1 1
219 1 0 1
220 0 0 0
221 4 0 4
222 1 2 3
223 0 0 0
224 0 0 0
225 4 0 4
226 0 1 1
227 1 2 3
228 2 0 2
229 1 2 3
230 0 1 1
231 3 1 4
232 4 0 4
233 1 3 4
234 0 0 0
235 0 2 2
236 0 0 0
237 0 0 0
238 3 2 5
239 4 6 10
240 1 0 1
241 0 1 1
242 0 0 0
243 1 2 3
244 1 0 1
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 1 1
250 0 0 0
251 1 1 2
252 0 0 0
253 0 1 1
254 0 0 0
255 1 0 1
256 0 0 0
257 0 0 0
258 5 1 6
259 0 2 2
260 0 0 0
261 1 0 1
262 1 1 2
263 3 2 5
264 0 1 1
265 0 1 1
266 0 0 0
267 0 0 0
268 0 0 0
269 8 0 8
270 0 1 1
271 0 0 0
272 1 0 1
273 5 0 5
274 0 1 1
275 2 3 5
276 0 0 0
277 0 2 2
278 0 1 1
279 4 2 6
280 0 1 1
281 0 0 0
282 0 1 1
283 4 1 5
284 1 1 2
285 12 0 12
286 0 1 1
287 3 0 3
288 7 1 8
289 3 0 3
290 2 0 2
291 0 0 0
292 0 1 1
293 0 0 0
294 0 0 0
295 1 1 2
296 0 0 0
297 14 0 14
298 0 0 0
299 2 0 2
300 0 0 0
301 0 0 0
302 0 0 0
303 0 0 0
304 0 1 1
305 0 0 0
306 0 0 0
307 0 0 0
308 0 2 2
309 0 2 2
310 3 0 3
311 0 0 0
312 0 2 2
313 0 0 0
314 4 0 4
315 0 0 0
316 0 0 0
317 0 0 0
318 0 0 0
319 7 0 7
