# Time (a.u.)	Order parameter |r|
"g(w): std dev = 0.262"
0.0000	3.6784471e-02
0.0010	3.6832395e-02
0.0020	3.6886005e-02
0.0030	3.6945308e-02
0.0040	3.7010311e-02
0.0050	3.7081016e-02
0.0060	3.7157425e-02
0.0070	3.7239533e-02
0.0080	3.7327338e-02
0.0090	3.7420830e-02
0.0100	3.7520001e-02
0.0110	3.7624838e-02
0.0120	3.7735327e-02
0.0130	3.7851449e-02
0.0140	3.7973186e-02
0.0150	3.8100517e-02
0.0160	3.8233417e-02
0.0170	3.8371860e-02
0.0180	3.8515819e-02
0.0190	3.8665264e-02
0.0200	3.8820162e-02
0.0210	3.8980481e-02
0.0220	3.9146185e-02
0.0230	3.9317237e-02
0.0240	3.9493599e-02
0.0250	3.9675230e-02
0.0260	3.9862090e-02
0.0270	4.0054136e-02
0.0280	4.0251324e-02
0.0290	4.0453609e-02
0.0300	4.0660946e-02
0.0310	4.0873286e-02
0.0320	4.1090583e-02
0.0330	4.1312788e-02
0.0340	4.1539850e-02
0.0350	4.1771722e-02
0.0360	4.2008350e-02
0.0370	4.2249686e-02
0.0380	4.2495676e-02
0.0390	4.2746269e-02
0.0400	4.3001413e-02
0.0410	4.3261055e-02
0.0420	4.3525143e-02
0.0430	4.3793624e-02
0.0440	4.4066445e-02
0.0450	4.4343553e-02
0.0460	4.4624895e-02
0.0470	4.4910419e-02
0.0480	4.5200071e-02
0.0490	4.5493800e-02
0.0500	4.5791553e-02
0.0510	4.6093279e-02
0.0520	4.6398925e-02
0.0530	4.6708439e-02
0.0540	4.7021772e-02
0.0550	4.7338873e-02
0.0560	4.7659690e-02
0.0570	4.7984175e-02
0.0580	4.8312278e-02
0.0590	4.8643949e-02
0.0600	4.8979142e-02
0.0610	4.9317807e-02
0.0620	4.9659897e-02
0.0630	5.0005366e-02
0.0640	5.0354167e-02
0.0650	5.0706255e-02
0.0660	5.1061584e-02
0.0670	5.1420109e-02
0.0680	5.1781788e-02
0.0690	5.2146576e-02
0.0700	5.2514431e-02
0.0710	5.2885311e-02
0.0720	5.3259173e-02
0.0730	5.3635977e-02
0.0740	5.4015683e-02
0.0750	5.4398251e-02
0.0760	5.4783641e-02
0.0770	5.5171816e-02
0.0780	5.5562737e-02
0.0790	5.5956367e-02
0.0800	5.6352669e-02
0.0810	5.6751607e-02
0.0820	5.7153145e-02
0.0830	5.7557249e-02
0.0840	5.7963884e-02
0.0850	5.8373016e-02
0.0860	5.8784612e-02
0.0870	5.9198640e-02
0.0880	5.9615066e-02
0.0890	6.0033860e-02
0.0900	6.0454991e-02
0.0910	6.0878427e-02
0.0920	6.1304140e-02
