# Time (a.u.)	Order parameter |r|
0.0000	1.0337838e-02
0.0010	9.9519076e-03
0.0020	9.5756983e-03
0.0030	9.2109704e-03
0.0040	8.8597696e-03
0.0050	8.5244574e-03
0.0060	8.2077353e-03
0.0070	7.9126567e-03
0.0080	7.6426183e-03
0.0090	7.4013191e-03
0.0100	7.1926776e-03
0.0110	7.0206960e-03
0.0120	6.8892699e-03
0.0130	6.8019530e-03
0.0140	6.7617001e-03
0.0150	6.7706296e-03
0.0160	6.8298491e-03
0.0170	6.9393811e-03
0.0180	7.0982056e-03
0.0190	7.3044047e-03
0.0200	7.5553770e-03
0.0210	7.8480770e-03
0.0220	8.1792420e-03
0.0230	8.5455803e-03
0.0240	8.9439105e-03
0.0250	9.3712523e-03
0.0260	9.8248777e-03
0.0270	1.0302331e-02
0.0280	1.0801426e-02
0.0290	1.1320235e-02
0.0300	1.1857064e-02
0.0310	1.2410433e-02
0.0320	1.2979046e-02
0.0330	1.3561771e-02
0.0340	1.4157616e-02
0.0350	1.4765712e-02
0.0360	1.5385294e-02
0.0370	1.6015687e-02
0.0380	1.6656294e-02
0.0390	1.7306584e-02
0.0400	1.7966081e-02
0.0410	1.8634361e-02
0.0420	1.9311039e-02
0.0430	1.9995770e-02
0.0440	2.0688238e-02
0.0450	2.1388153e-02
0.0460	2.2095253e-02
0.0470	2.2809292e-02
0.0480	2.3530045e-02
0.0490	2.4257302e-02
0.0500	2.4990866e-02
0.0510	2.5730554e-02
0.0520	2.6476191e-02
0.0530	2.7227615e-02
0.0540	2.7984669e-02
0.0550	2.8747206e-02
0.0560	2.9515084e-02
0.0570	3.0288170e-02
0.0580	3.1066333e-02
0.0590	3.1849449e-02
0.0600	3.2637399e-02
0.0610	3.3430066e-02
0.0620	3.4227341e-02
0.0630	3.5029115e-02
0.0640	3.5835283e-02
0.0650	3.6645746e-02
0.0660	3.7460406e-02
0.0670	3.8279168e-02
0.0680	3.9101941e-02
0.0690	3.9928636e-02
0.0700	4.0759168e-02
0.0710	4.1593454e-02
0.0720	4.2431414e-02
0.0730	4.3272972e-02
0.0740	4.4118052e-02
0.0750	4.4966583e-02
0.0760	4.5818497e-02
0.0770	4.6673727e-02
0.0780	4.7532210e-02
0.0790	4.8393885e-02
0.0800	4.9258695e-02
0.0810	5.0126584e-02
0.0820	5.0997500e-02
0.0830	5.1871394e-02
0.0840	5.2748217e-02
0.0850	5.3627925e-02
0.0860	5.4510477e-02
0.0870	5.5395834e-02
0.0880	5.6283957e-02
0.0890	5.7174813e-02
0.0900	5.8068369e-02
0.0910	5.8964596e-02
0.0920	5.9863467e-02
0.0930	6.0764956e-02
0.0940	6.1669040e-02
0.0950	6.2575698e-02
0.0960	6.3484910e-02
0.0970	6.4396661e-02
0.0980	6.5310934e-02
0.0990	6.6227716e-02
0.1000	6.7146995e-02
0.1010	6.8068762e-02
0.1020	6.8993006e-02
0.1030	6.9919722e-02
0.1040	7.0848903e-02
0.1050	7.1780545e-02
0.1060	7.2714644e-02
0.1070	7.3651198e-02
0.1080	7.4590206e-02
0.1090	7.5531667e-02
0.1100	7.6475583e-02
0.1110	7.7421956e-02
0.1120	7.8370786e-02
0.1130	7.9322078e-02
0.1140	8.0275836e-02
0.1150	8.1232063e-02
0.1160	8.2190764e-02
0.1170	8.3151946e-02
0.1180	8.4115613e-02
0.1190	8.5081771e-02
0.1200	8.6050428e-02
0.1210	8.7021590e-02
0.1220	8.7995263e-02
0.1230	8.8971456e-02
0.1240	8.9950175e-02
0.1250	9.0931429e-02
0.1260	9.1915223e-02
0.1270	9.2901567e-02
0.1280	9.3890467e-02
0.1290	9.4881932e-02
0.1300	9.5875968e-02
0.1310	9.6872584e-02
0.1320	9.7871787e-02
0.1330	9.8873584e-02
0.1340	9.9877982e-02
0.1350	1.0088499e-01
0.1360	1.0189461e-01
0.1370	1.0290685e-01
0.1380	1.0392172e-01
