# Coupling strength K	Order parameter |r|
0.000000e+00	2.695495e-02
5.000000e-03	6.800302e-02
1.000000e-02	2.057500e-01
1.500000e-02	2.784796e-01
2.000000e-02	3.980553e-01
2.500000e-02	5.115277e-01
3.000000e-02	6.039944e-01
3.500000e-02	6.889025e-01
4.000000e-02	7.539396e-01
4.500000e-02	8.131997e-01
5.000000e-02	8.551784e-01
5.500000e-02	8.853933e-01
6.000000e-02	9.061758e-01
6.500000e-02	9.218556e-01
7.000000e-02	9.332499e-01
7.500000e-02	9.427314e-01
8.000000e-02	9.501675e-01
8.500000e-02	9.561878e-01
9.000000e-02	9.611518e-01
9.500000e-02	9.653011e-01
1.000000e-01	9.688089e-01
1.050000e-01	9.718034e-01
1.100000e-01	9.743815e-01
1.150000e-01	9.766180e-01
1.200000e-01	9.785713e-01
1.250000e-01	9.802877e-01
1.300000e-01	9.817866e-01
1.350000e-01	9.831513e-01
1.400000e-01	9.843532e-01
1.450000e-01	9.854302e-01
1.500000e-01	9.863991e-01
1.550000e-01	9.872741e-01
1.600000e-01	9.880669e-01
1.650000e-01	9.887875e-01
1.700000e-01	9.894446e-01
1.750000e-01	9.900453e-01
1.800000e-01	9.905960e-01
1.850000e-01	9.911021e-01
1.900000e-01	9.915683e-01
1.950000e-01	9.919987e-01
2.000000e-01	9.923968e-01
2.050000e-01	9.927659e-01
2.100000e-01	9.931087e-01
2.150000e-01	9.934277e-01
2.200000e-01	9.937249e-01
2.250000e-01	9.940024e-01
2.300000e-01	9.942619e-01
2.350000e-01	9.945048e-01
2.400000e-01	9.947326e-01
2.450000e-01	9.949465e-01
2.500000e-01	9.951476e-01
2.550000e-01	9.953369e-01
2.600000e-01	9.955154e-01
2.650000e-01	9.956837e-01
2.700000e-01	9.958428e-01
2.750000e-01	9.959932e-01
2.800000e-01	9.961356e-01
2.850000e-01	9.962705e-01
2.900000e-01	9.963984e-01
2.950000e-01	9.965199e-01
3.000000e-01	9.966354e-01
3.050000e-01	9.967451e-01
3.100000e-01	9.968496e-01
3.150000e-01	9.969491e-01
3.200000e-01	9.970440e-01
3.250000e-01	9.971345e-01
3.300000e-01	9.972209e-01
3.350000e-01	9.973035e-01
3.400000e-01	9.973824e-01
3.450000e-01	9.974580e-01
3.500000e-01	9.975302e-01
3.550000e-01	9.975995e-01
3.600000e-01	9.976659e-01
3.650000e-01	9.977295e-01
3.700000e-01	9.977906e-01
3.750000e-01	9.978493e-01
3.800000e-01	9.979056e-01
3.850000e-01	9.979598e-01
3.900000e-01	9.980118e-01
3.950000e-01	9.980620e-01
4.000000e-01	9.981102e-01
4.050000e-01	9.981567e-01
4.100000e-01	9.982014e-01
4.150000e-01	9.982446e-01
4.200000e-01	9.982862e-01
4.250000e-01	9.983263e-01
4.300000e-01	9.983651e-01
4.350000e-01	9.984025e-01
4.400000e-01	9.984387e-01
4.450000e-01	9.984736e-01
4.500000e-01	9.985074e-01
4.550000e-01	9.985401e-01
4.600000e-01	9.985717e-01
4.650000e-01	9.986023e-01
4.700000e-01	9.986319e-01
4.750000e-01	9.986606e-01
4.800000e-01	9.986884e-01
4.850000e-01	9.987153e-01
4.900000e-01	9.987415e-01
4.950000e-01	9.987668e-01
5.000000e-01	9.987914e-01
5.050000e-01	9.988152e-01
5.100000e-01	9.988383e-01
5.150000e-01	9.988608e-01
5.200000e-01	9.988826e-01
5.250000e-01	9.989038e-01
5.300000e-01	9.989245e-01
5.350000e-01	9.989445e-01
5.400000e-01	9.989640e-01
5.450000e-01	9.989829e-01
5.500000e-01	9.990013e-01
5.550000e-01	9.990193e-01
5.600000e-01	9.990367e-01
5.650000e-01	9.990537e-01
5.700000e-01	9.990702e-01
5.750000e-01	9.990864e-01
5.800000e-01	9.991021e-01
5.850000e-01	9.991174e-01
5.900000e-01	9.991323e-01
5.950000e-01	9.991468e-01
6.000000e-01	9.991610e-01
6.050000e-01	9.991748e-01
6.100000e-01	9.991883e-01
6.150000e-01	9.992014e-01
6.200000e-01	9.992143e-01
6.250000e-01	9.992268e-01
6.300000e-01	9.992390e-01
6.350000e-01	9.992510e-01
6.400000e-01	9.992626e-01
6.450000e-01	9.992740e-01
6.500000e-01	9.992852e-01
6.550000e-01	9.992961e-01
6.600000e-01	9.993067e-01
6.650000e-01	9.993171e-01
6.700000e-01	9.993272e-01
6.750000e-01	9.993372e-01
6.800000e-01	9.993469e-01
6.850000e-01	9.993564e-01
6.900000e-01	9.993657e-01
6.950000e-01	9.993748e-01
7.000000e-01	9.993837e-01
7.050000e-01	9.993924e-01
7.100000e-01	9.994010e-01
7.150000e-01	9.994093e-01
7.200000e-01	9.994175e-01
7.250000e-01	9.994255e-01
7.300000e-01	9.994334e-01
7.350000e-01	9.994410e-01
7.400000e-01	9.994486e-01
7.450000e-01	9.994560e-01
7.500000e-01	9.994632e-01
7.550000e-01	9.994703e-01
7.600000e-01	9.994772e-01
7.650000e-01	9.994840e-01
7.700000e-01	9.994907e-01
7.750000e-01	9.994973e-01
7.800000e-01	9.995037e-01
7.850000e-01	9.995100e-01
7.900000e-01	9.995162e-01
7.950000e-01	9.995223e-01
8.000000e-01	9.995282e-01
8.050000e-01	9.995341e-01
8.100000e-01	9.995398e-01
8.150000e-01	9.995454e-01
8.200000e-01	9.995510e-01
8.250000e-01	9.995564e-01
8.300000e-01	9.995617e-01
8.350000e-01	9.995670e-01
8.400000e-01	9.995721e-01
8.450000e-01	9.995772e-01
8.500000e-01	9.995821e-01
8.550000e-01	9.995870e-01
8.600000e-01	9.995918e-01
8.650000e-01	9.995965e-01
8.700000e-01	9.996011e-01
8.750000e-01	9.996057e-01
8.800000e-01	9.996101e-01
8.850000e-01	9.996145e-01
8.900000e-01	9.996188e-01
8.950000e-01	9.996231e-01
9.000000e-01	9.996273e-01
9.050000e-01	9.996314e-01
9.100000e-01	9.996354e-01
9.150000e-01	9.996394e-01
9.200000e-01	9.996433e-01
9.250000e-01	9.996472e-01
9.300000e-01	9.996509e-01
9.350000e-01	9.996547e-01
9.400000e-01	9.996583e-01
9.450000e-01	9.996619e-01
9.500000e-01	9.996655e-01
9.550000e-01	9.996690e-01
9.600000e-01	9.996724e-01
9.650000e-01	9.996758e-01
9.700000e-01	9.996791e-01
9.750000e-01	9.996824e-01
9.800000e-01	9.996857e-01
9.850000e-01	9.996888e-01
9.900000e-01	9.996920e-01
9.950000e-01	9.996951e-01
1.000000e+00	9.996981e-01
