# Coupling strength K	Order parameter |r|
0.000000e+00	2.630733e-02
5.000000e-03	2.026655e-02
1.000000e-02	3.098616e-02
1.500000e-02	3.808714e-02
2.000000e-02	4.711613e-02
2.500000e-02	3.798363e-02
3.000000e-02	4.841856e-02
3.500000e-02	9.901316e-02
4.000000e-02	1.012106e-01
4.500000e-02	8.521955e-02
5.000000e-02	1.589923e-01
5.500000e-02	2.161231e-01
6.000000e-02	2.247973e-01
6.500000e-02	2.335359e-01
7.000000e-02	2.952404e-01
7.500000e-02	3.267455e-01
8.000000e-02	3.026584e-01
8.500000e-02	3.725563e-01
9.000000e-02	3.713281e-01
9.500000e-02	4.000627e-01
1.000000e-01	4.112181e-01
1.050000e-01	4.483248e-01
1.100000e-01	4.811584e-01
1.150000e-01	4.947701e-01
1.200000e-01	5.052146e-01
1.250000e-01	5.250031e-01
1.300000e-01	5.738047e-01
1.350000e-01	5.879758e-01
1.400000e-01	5.843949e-01
1.450000e-01	5.920486e-01
1.500000e-01	6.193576e-01
1.550000e-01	6.337724e-01
1.600000e-01	6.409193e-01
1.650000e-01	6.651840e-01
1.700000e-01	6.759170e-01
1.750000e-01	7.021810e-01
1.800000e-01	7.044919e-01
1.850000e-01	7.167575e-01
1.900000e-01	7.339957e-01
1.950000e-01	7.615542e-01
2.000000e-01	7.595877e-01
2.050000e-01	7.695785e-01
2.100000e-01	7.814045e-01
2.150000e-01	7.867716e-01
2.200000e-01	7.991870e-01
2.250000e-01	8.013512e-01
2.300000e-01	8.136395e-01
2.350000e-01	8.207053e-01
2.400000e-01	8.277065e-01
2.450000e-01	8.311557e-01
2.500000e-01	8.414794e-01
2.550000e-01	8.509019e-01
2.600000e-01	8.497118e-01
2.650000e-01	8.542932e-01
2.700000e-01	8.596209e-01
2.750000e-01	8.652802e-01
2.800000e-01	8.693578e-01
2.850000e-01	8.747213e-01
2.900000e-01	8.801716e-01
2.950000e-01	8.843634e-01
3.000000e-01	8.891080e-01
3.050000e-01	8.931965e-01
3.100000e-01	8.978088e-01
3.150000e-01	9.018822e-01
3.200000e-01	9.054719e-01
3.250000e-01	9.080953e-01
3.300000e-01	9.118631e-01
3.350000e-01	9.145313e-01
3.400000e-01	9.170299e-01
3.450000e-01	9.198086e-01
3.500000e-01	9.224114e-01
3.550000e-01	9.248607e-01
3.600000e-01	9.271795e-01
3.650000e-01	9.293807e-01
3.700000e-01	9.314743e-01
3.750000e-01	9.334688e-01
3.800000e-01	9.379867e-01
3.850000e-01	9.372206e-01
3.900000e-01	9.389254e-01
3.950000e-01	9.405866e-01
4.000000e-01	9.421781e-01
4.050000e-01	9.437036e-01
4.100000e-01	9.451669e-01
4.150000e-01	9.465716e-01
4.200000e-01	9.479210e-01
4.250000e-01	9.492180e-01
4.300000e-01	9.504655e-01
4.350000e-01	9.516661e-01
4.400000e-01	9.528222e-01
4.450000e-01	9.539362e-01
4.500000e-01	9.550100e-01
4.550000e-01	9.560457e-01
4.600000e-01	9.570451e-01
4.650000e-01	9.580100e-01
4.700000e-01	9.589420e-01
4.750000e-01	9.598426e-01
4.800000e-01	9.607132e-01
4.850000e-01	9.615552e-01
4.900000e-01	9.623699e-01
4.950000e-01	9.631585e-01
5.000000e-01	9.639220e-01
5.050000e-01	9.653344e-01
5.100000e-01	9.653799e-01
5.150000e-01	9.660731e-01
5.200000e-01	9.667468e-01
5.250000e-01	9.674003e-01
5.300000e-01	9.680345e-01
5.350000e-01	9.686500e-01
5.400000e-01	9.692476e-01
5.450000e-01	9.698281e-01
5.500000e-01	9.703921e-01
5.550000e-01	9.709402e-01
5.600000e-01	9.714730e-01
5.650000e-01	9.719911e-01
5.700000e-01	9.724950e-01
5.750000e-01	9.729853e-01
5.800000e-01	9.734624e-01
5.850000e-01	9.739269e-01
5.900000e-01	9.743791e-01
5.950000e-01	9.748195e-01
6.000000e-01	9.752486e-01
6.050000e-01	9.756667e-01
6.100000e-01	9.760741e-01
6.150000e-01	9.764713e-01
6.200000e-01	9.768586e-01
6.250000e-01	9.772363e-01
6.300000e-01	9.778044e-01
6.350000e-01	9.779644e-01
6.400000e-01	9.783151e-01
6.450000e-01	9.786576e-01
6.500000e-01	9.789919e-01
6.550000e-01	9.793184e-01
6.600000e-01	9.796372e-01
6.650000e-01	9.799487e-01
6.700000e-01	9.802530e-01
6.750000e-01	9.805504e-01
6.800000e-01	9.808411e-01
6.850000e-01	9.811252e-01
6.900000e-01	9.814031e-01
6.950000e-01	9.816748e-01
7.000000e-01	9.819405e-01
7.050000e-01	9.822005e-01
7.100000e-01	9.824548e-01
7.150000e-01	9.827037e-01
7.200000e-01	9.829474e-01
7.250000e-01	9.831858e-01
7.300000e-01	9.834193e-01
7.350000e-01	9.836479e-01
7.400000e-01	9.838718e-01
7.450000e-01	9.840911e-01
7.500000e-01	9.843059e-01
7.550000e-01	9.845727e-01
7.600000e-01	9.847226e-01
7.650000e-01	9.849247e-01
7.700000e-01	9.851228e-01
7.750000e-01	9.853170e-01
7.800000e-01	9.855074e-01
7.850000e-01	9.856942e-01
7.900000e-01	9.858773e-01
7.950000e-01	9.860569e-01
8.000000e-01	9.862330e-01
8.050000e-01	9.864059e-01
8.100000e-01	9.865755e-01
8.150000e-01	9.867419e-01
8.200000e-01	9.869052e-01
8.250000e-01	9.870655e-01
8.300000e-01	9.872229e-01
8.350000e-01	9.873774e-01
8.400000e-01	9.875291e-01
8.450000e-01	9.876781e-01
8.500000e-01	9.878244e-01
8.550000e-01	9.879681e-01
8.600000e-01	9.881093e-01
8.650000e-01	9.882480e-01
8.700000e-01	9.883843e-01
8.750000e-01	9.885182e-01
8.800000e-01	9.886664e-01
8.850000e-01	9.887791e-01
8.900000e-01	9.889062e-01
8.950000e-01	9.890312e-01
9.000000e-01	9.891540e-01
9.050000e-01	9.892748e-01
9.100000e-01	9.893936e-01
9.150000e-01	9.895104e-01
9.200000e-01	9.896253e-01
9.250000e-01	9.897383e-01
9.300000e-01	9.898495e-01
9.350000e-01	9.899588e-01
9.400000e-01	9.900664e-01
9.450000e-01	9.901723e-01
9.500000e-01	9.902765e-01
9.550000e-01	9.903790e-01
9.600000e-01	9.904799e-01
9.650000e-01	9.905792e-01
9.700000e-01	9.906770e-01
9.750000e-01	9.907732e-01
9.800000e-01	9.908680e-01
9.850000e-01	9.909613e-01
9.900000e-01	9.910532e-01
9.950000e-01	9.911437e-01
1.000000e+00	9.912328e-01
