# Time (a.u.)	Order parameter |r|
0.0000	9.7612463e-01
0.1000	9.7903408e-01
0.2000	9.8093917e-01
0.3000	9.8208622e-01
0.4000	9.8274140e-01
0.5000	9.8309170e-01
0.6000	9.8325185e-01
0.7000	9.8328982e-01
0.8000	9.8324563e-01
0.9000	9.8314304e-01
1.0000	9.8299649e-01
1.1000	9.8281498e-01
1.2000	9.8260426e-01
1.3000	9.8236801e-01
1.4000	9.8210841e-01
1.5000	9.8182657e-01
1.6000	9.8152266e-01
1.7000	9.8119602e-01
1.8000	9.8084520e-01
1.9000	9.8046791e-01
2.0000	9.8006100e-01
2.1000	9.7962037e-01
2.2000	9.7914083e-01
2.3000	9.7861594e-01
2.4000	9.7803786e-01
2.5000	9.7739715e-01
2.6000	9.7668261e-01
2.7000	9.7588127e-01
2.8000	9.7497850e-01
2.9000	9.7395856e-01
3.0000	9.7280574e-01
3.1000	9.7150632e-01
3.2000	9.7005141e-01
3.3000	9.6844049e-01
3.4000	9.6668448e-01
3.5000	9.6480629e-01
3.6000	9.6283578e-01
3.7000	9.6079545e-01
3.8000	9.5867379e-01
3.9000	9.5638437e-01
4.0000	9.5371192e-01
4.1000	9.5025212e-01
4.2000	9.4535873e-01
4.3000	9.3810937e-01
4.4000	9.2726690e-01
4.5000	9.1130265e-01
4.6000	8.8902835e-01
4.7000	8.6123617e-01
4.8000	8.3149474e-01
4.9000	8.0348439e-01
5.0000	7.7852431e-01
5.1000	7.5662630e-01
5.2000	7.3815706e-01
5.3000	7.2421267e-01
5.4000	7.1623349e-01
5.5000	7.1542507e-01
5.6000	7.2225319e-01
5.7000	7.3671163e-01
5.8000	7.5836255e-01
5.9000	7.8566744e-01
6.0000	8.1629466e-01
6.1000	8.4793354e-01
6.2000	8.7836025e-01
6.3000	9.0541101e-01
6.4000	9.2749026e-01
6.5000	9.4424422e-01
6.6000	9.5636893e-01
6.7000	9.6477467e-01
6.8000	9.7061670e-01
6.9000	9.7496460e-01
7.0000	9.7821807e-01
7.1000	9.8042502e-01
7.2000	9.8178348e-01
7.3000	9.8257183e-01
7.4000	9.8300445e-01
7.5000	9.8321637e-01
7.6000	9.8328810e-01
7.7000	9.8326705e-01
7.8000	9.8318127e-01
7.9000	9.8304763e-01
8.0000	9.8287657e-01
8.1000	9.8267474e-01
8.2000	9.8244637e-01
8.3000	9.8219408e-01
8.4000	9.8191932e-01
8.5000	9.8162251e-01
8.6000	9.8130328e-01
8.7000	9.8096042e-01
8.8000	9.8059191e-01
8.9000	9.8019490e-01
9.0000	9.7976559e-01
9.1000	9.7929916e-01
9.2000	9.7878959e-01
9.3000	9.7822951e-01
9.4000	9.7761001e-01
9.5000	9.7692047e-01
9.6000	9.7614848e-01
9.7000	9.7527990e-01
9.8000	9.7429926e-01
9.9000	9.7319068e-01
10.0000	9.7193952e-01
10.1000	9.7053499e-01
10.2000	9.6897348e-01
10.3000	9.6726203e-01
10.4000	9.6541991e-01
10.5000	9.6347578e-01
10.6000	9.6145677e-01
10.7000	9.5936602e-01
10.8000	9.5714646e-01
10.9000	9.5463056e-01
11.0000	9.5148107e-01
11.1000	9.4713394e-01
11.2000	9.4075838e-01
11.3000	9.3122373e-01
11.4000	9.1707199e-01
11.5000	8.9686817e-01
11.6000	8.7057021e-01
11.7000	8.4097604e-01
11.8000	8.1214864e-01
11.9000	7.8618941e-01
12.0000	7.6330695e-01
12.1000	7.4364908e-01
12.2000	7.2810390e-01
12.3000	7.1805598e-01
12.4000	7.1485942e-01
12.5000	7.1922961e-01
12.6000	7.3125511e-01
12.7000	7.5070765e-01
12.8000	7.7643556e-01
12.9000	8.0625970e-01
13.0000	8.3781511e-01
13.1000	8.6887550e-01
13.2000	8.9722293e-01
13.3000	9.2100527e-01
13.4000	9.3941964e-01
13.5000	9.5293330e-01
13.6000	9.6242010e-01
13.7000	9.6894724e-01
13.8000	9.7369494e-01
13.9000	9.7729245e-01
14.0000	9.7982314e-01
14.1000	9.8142280e-01
14.2000	9.8236633e-01
14.3000	9.8289493e-01
14.4000	9.8316673e-01
14.5000	9.8327699e-01
14.6000	9.8328191e-01
14.7000	9.8321463e-01
14.8000	9.8309495e-01
14.9000	9.8293502e-01
15.0000	9.8274249e-01
15.1000	9.8252228e-01
15.2000	9.8227746e-01
15.3000	9.8200980e-01
15.4000	9.8172007e-01
15.5000	9.8140812e-01
15.6000	9.8107301e-01
15.7000	9.8071300e-01
15.8000	9.8032549e-01
15.9000	9.7990701e-01
16.0000	9.7945307e-01
16.1000	9.7895807e-01
16.2000	9.7841507e-01
16.3000	9.7781569e-01
16.4000	9.7714987e-01
16.5000	9.7640577e-01
16.6000	9.7556978e-01
16.7000	9.7462681e-01
16.8000	9.7356094e-01
16.9000	9.7235691e-01
17.0000	9.7100236e-01
17.1000	9.6949098e-01
17.2000	9.6782608e-01
17.3000	9.6602304e-01
17.4000	9.6410826e-01
17.5000	9.6211117e-01
17.6000	9.6004586e-01
17.7000	9.5787939e-01
17.8000	9.5548585e-01
17.9000	9.5258902e-01
18.0000	9.4870295e-01
18.1000	9.4308550e-01
18.2000	9.3470715e-01
18.3000	9.2220936e-01
18.4000	9.0405615e-01
18.5000	8.7955259e-01
18.6000	8.5055677e-01
18.7000	8.2112373e-01
18.8000	7.9416957e-01
18.9000	7.7031212e-01
19.0000	7.4955993e-01
19.1000	7.3255998e-01
19.2000	7.2058824e-01
19.3000	7.1507707e-01
19.4000	7.1699325e-01
19.5000	7.2656994e-01
19.6000	7.4370693e-01
19.7000	7.6762509e-01
19.8000	7.9640096e-01
19.9000	8.2764671e-01
20.0000	8.5910916e-01
20.1000	8.8855772e-01
20.2000	9.1395661e-01
20.3000	9.3408999e-01
20.4000	9.4908230e-01
20.5000	9.5975944e-01
20.6000	9.6710014e-01
20.7000	9.7231221e-01
20.8000	9.7625578e-01
20.9000	9.7912436e-01
21.0000	9.8099515e-01
21.1000	9.8211888e-01
21.2000	9.8275950e-01
21.3000	9.8310078e-01
21.4000	9.8325522e-01
21.5000	9.8328945e-01
21.6000	9.8324266e-01
21.7000	9.8313817e-01
21.8000	9.8299014e-01
21.9000	9.8280742e-01
22.0000	9.8259567e-01
22.1000	9.8235849e-01
22.2000	9.8209803e-01
22.3000	9.8181535e-01
22.4000	9.8151059e-01
22.5000	9.8118305e-01
22.6000	9.8083126e-01
22.7000	9.8045290e-01
22.8000	9.8004479e-01
22.9000	9.7960277e-01
23.0000	9.7912162e-01
23.1000	9.7859485e-01
23.2000	9.7801456e-01
23.3000	9.7737124e-01
23.4000	9.7665363e-01
23.5000	9.7584868e-01
23.6000	9.7494172e-01
23.7000	9.7391698e-01
23.8000	9.7275878e-01
23.9000	9.7145353e-01
24.0000	9.6999259e-01
24.1000	9.6837584e-01
24.2000	9.6661466e-01
24.3000	9.6473238e-01
24.4000	9.6275890e-01
24.5000	9.6071600e-01
24.6000	9.5859015e-01
24.7000	9.5629105e-01
24.8000	9.5359730e-01
24.9000	9.5009620e-01
25.0000	9.4513147e-01
25.1000	9.3776955e-01
25.2000	9.2676033e-01
25.3000	9.1056994e-01
25.4000	8.8805118e-01
25.5000	8.6010535e-01
25.6000	8.3037460e-01
25.7000	8.0247155e-01
25.8000	7.7762998e-01
25.9000	7.5585133e-01
26.0000	7.3753138e-01
26.1000	7.2378821e-01
26.2000	7.1606504e-01
26.3000	7.1554523e-01
26.4000	7.2266672e-01
26.5000	7.3741371e-01
26.6000	7.5931714e-01
26.7000	7.8679389e-01
26.8000	8.1750101e-01
26.9000	8.4913472e-01
27.0000	8.7947045e-01
27.1000	9.0635445e-01
27.2000	9.2822699e-01
27.3000	9.4478787e-01
27.4000	9.5675273e-01
27.5000	9.6503733e-01
27.6000	9.7080567e-01
27.7000	9.7510885e-01
27.8000	9.7832119e-01
27.9000	9.8049083e-01
28.0000	9.8182250e-01
28.1000	9.8259385e-01
28.2000	9.8301597e-01
28.3000	9.8322131e-01
28.4000	9.8328877e-01
28.5000	9.8326483e-01
28.6000	9.8317695e-01
28.7000	9.8304172e-01
28.8000	9.8286938e-01
28.9000	9.8266646e-01
29.0000	9.8243714e-01
29.1000	9.8218398e-01
29.2000	9.8190836e-01
29.3000	9.8161071e-01
29.4000	9.8129061e-01
29.5000	9.8094680e-01
29.6000	9.8057726e-01
29.7000	9.8017909e-01
29.8000	9.7974846e-01
29.9000	9.7928050e-01
30.0000	9.7876914e-01
30.1000	9.7820696e-01
30.2000	9.7758498e-01
30.3000	9.7689253e-01
30.4000	9.7611711e-01
30.5000	9.7524453e-01
30.6000	9.7425929e-01
30.7000	9.7314551e-01
30.8000	9.7188864e-01
30.9000	9.7047811e-01
31.0000	9.6891066e-01
31.1000	9.6719377e-01
31.2000	9.6534718e-01
31.3000	9.6339976e-01
31.4000	9.6137819e-01
31.5000	9.5928409e-01
31.6000	9.5705716e-01
31.7000	9.5452451e-01
31.8000	9.5134116e-01
31.9000	9.4693348e-01
32.0000	9.4045988e-01
32.1000	9.3077728e-01
32.2000	9.1641721e-01
32.3000	8.9596567e-01
32.4000	8.6947149e-01
32.5000	8.3983658e-01
32.6000	8.1109749e-01
32.7000	7.8525787e-01
32.8000	7.6249197e-01
32.9000	7.4297058e-01
33.0000	7.2760866e-01
33.1000	7.1780034e-01
33.2000	7.1488562e-01
33.3000	7.1954923e-01
33.4000	7.3186630e-01
33.5000	7.5158835e-01
33.6000	7.7751718e-01
33.7000	8.0744993e-01
33.8000	8.3902718e-01
33.9000	8.7002406e-01
34.0000	8.9822654e-01
34.1000	9.2180913e-01
34.2000	9.4002160e-01
34.3000	9.5336474e-01
34.4000	9.6271647e-01
34.5000	9.6915521e-01
34.6000	9.7385234e-01
34.7000	9.7740879e-01
34.8000	9.7989993e-01
34.9000	9.8146920e-01
35.0000	9.8239294e-01
35.1000	9.8290929e-01
35.2000	9.8317347e-01
35.3000	9.8327885e-01
35.4000	9.8328051e-01
35.5000	9.8321092e-01
35.6000	9.8308951e-01
35.7000	9.8292821e-01
35.8000	9.8273455e-01
35.9000	9.8251335e-01
36.0000	9.8226763e-01
36.1000	9.8199912e-01
36.2000	9.8170854e-01
36.3000	9.8139573e-01
36.4000	9.8105971e-01
36.5000	9.8069869e-01
36.6000	9.8031007e-01
36.7000	9.7989032e-01
36.8000	9.7943492e-01
36.9000	9.7893822e-01
37.0000	9.7839323e-01
37.1000	9.7779150e-01
37.2000	9.7712291e-01
37.3000	9.7637556e-01
37.4000	9.7553576e-01
37.5000	9.7458838e-01
37.6000	9.7351749e-01
